id X Y Z
1 87331.82031 12398.29785 51.91199875
2 87331.38281 12405.34863 51.74399948
3 87223.50781 12619.92578 46.93999863
4 87223.35938 12596.14746 47.29999924
5 87231.14844 12618.91309 46.53300095
6 87231.59375 12600.02441 47.25899887
7 87226.35156 12607.86523 43.81399918
8 87234.42188 12616.64258 47.46300125
9 87236.50781 12605.03418 47.40299988
10 87231.92969 12591.86621 46.9659996
11 87249.22656 12590.1748 47.08800125
12 87245.63281 12575.88574 47.61100006
13 87239.67969 12615.1416 46.95899963
14 87243.5625 12563.33691 47.8730011
15 87235.64844 12575.59668 48.06399918
16 87258.39063 12581.95508 47.4090004
17 87253.40625 12566.21875 48.10200119
18 87245.8125 12552.07324 48.2179985
19 87248.71875 12551.82227 48.20899963
20 87262.47656 12594.05859 47.29800034
21 87260.41406 12562.67383 48.51599884
22 87255.35938 12546.71875 48.57500076
23 87253.92969 12552.71289 51.29000092
24 87275.86719 12571.53906 47.35100174
25 87264.23438 12550.71875 51.27000046
26 87263.11719 12546.4873 48.77000046
27 87267.8125 12551.80176 51.43600082
28 87266.88281 12547.23633 48.89899826
29 87281.21094 12562.93555 46.99200058
30 87267.66406 12541.5127 48.92300034
31 87263.03125 12556.38574 51.52799988
32 87271.92969 12541.07617 48.86299896
33 87285.03125 12555.40918 46.13600159
34 87256 12555.80176 51.30699921
35 87293.76563 12542.46094 45.96500015
36 87268.53906 12550.30762 51.13999939
37 87271.53906 12546.18555 51.25799942
38 87275.41406 12541.49316 48.02199936
39 87272.76563 12549.90332 48.31000137
40 87283.38281 12538.61426 47.38000107
41 87269.41406 12556.75781 48.25400162
42 87273.84375 12536.22461 46.50899887
43 87273.82031 12536.12109 49.15800095
44 87276.15625 12531.59277 51.10900116
45 87273.65625 12529.63379 49.32300186
46 87290.82031 12535.98438 47.38700104
47 87277.75 12527.65039 49.25600052
48 87288.60938 12532.24023 49.89099884
49 87283.35938 12527.2998 49.04600143
50 87284.98438 12533.80469 51.26900101
51 87292.76563 12532.27344 48.44900131
52 87266.375 12499.45605 49.72000122
53 87276.92188 12534.32422 50.92100143
54 87296.44531 12528.95996 47.68700027
55 87292.82031 12524.81543 46.23899841
56 87309.92969 12511.7959 46.46300125
57 87309.97656 12511.85059 48.06399918
58 87268.51563 12497.67285 48.74399948
59 87306.15625 12501.97656 48.22299957
60 87285.88281 12494.68652 48.5870018
61 87325.21094 12507.07324 48.24000168
62 87298.57813 12502.75781 46.22900009
63 87330.84375 12510.59473 45.78499985
64 87296.32813 12485.9248 48.61199951
65 87307.17969 12496.9707 48.45999908
66 87327.45313 12489.04395 48.33499908
67 87312.70313 12483.74121 48.2159996
68 87301.21875 12473.63477 48.57300186
69 87337.30469 12488.55078 48.5019989
70 87331.24219 12471.95215 48.18899918
71 87319.50781 12467.85156 47.86800003
72 87347.80469 12471.55664 48.56100082
73 87302.92188 12451.95117 49.49399948
74 87318.03125 12460.25 49.74300003
75 87350.02344 12479.17773 48.28699875
76 87307.09375 12446.44336 50.00500107
77 87321.34375 12451.33398 48.50500107
78 87371.92969 12469.48145 48.89199829
79 87307.71094 12437.38574 50.27799988
80 87323.25781 12439.27246 50.18099976
81 87323.27344 12439.2793 48.58100128
82 87310.96875 12423.5127 50.38299942
83 87326.42969 12426.22754 49.27099991
84 87330.79688 12416.1582 50.72800064
85 87382.16406 12476.875 48.86999893
86 87339.42969 12417.7002 50.4109993
